### Module positions - created on 01/11/22 11:19:41 ###
### Printed by Pcbnew version kicad (5.1.10)-1
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val          Package                                        PosX       PosY       Rot  Side
FID4      _FIDUCIAL    Fiducial_1.00mm_ring0.5mm                    3.0000    77.0000  180.0000  bottom
FID5      _FIDUCIAL    Fiducial_1.00mm_ring0.5mm                    3.0000     3.0000    0.0000  bottom
FID6      _FIDUCIAL    Fiducial_1.00mm_ring0.5mm                   37.0000     3.0000    0.0000  bottom
C20       100n         C_0603                                      23.0000    68.0000   90.0000  top
C21       100n         C_0603                                      22.2500    52.2500    0.0000  top
C30       100n         C_0603                                      14.2500    38.7500   90.0000  top
C50       100n         C_0603                                       4.2500    65.2500   90.0000  top
C51       10u          C_0603                                       6.0000    65.2500   90.0000  top
C52       220u         CP_Elec_6.3x7.7                             28.0000    74.0000   90.0000  top
C53       220u         CP_Elec_6.3x7.7                             35.5000    74.0000   90.0000  top
C54       220u         CP_Elec_6.3x7.7                              4.7500    50.2500  180.0000  top
C55       220u         CP_Elec_6.3x7.7                              4.7500    43.0000  180.0000  top
C56       10u          C_0603                                      10.0000    37.0000  180.0000  top
C57       100n         C_0603                                      10.0000    39.0000  180.0000  top
C60       1u           C_0603                                      10.2500    45.2500    0.0000  top
C61       100n         C_0603                                      10.2500    47.0000    0.0000  top
C62       100n         C_0603                                      16.5000    53.2500    0.0000  top
D10       USBLC6-2     SOT23-6                                     20.0000    71.7500  180.0000  top
D30       OF-SMD2012R  LED_0805                                    27.0000    17.5000    0.0000  top
D31       OF-SMD2012G  LED_0805                                    27.0000    20.0000    0.0000  top
D70       OF-SMD2012W  LED_0805                                    37.7500    68.0000   90.0000  top
D71       OF-SMD2012W  LED_0805                                    13.0000    15.0000    0.0000  top
D72       OF-SMD2012W  LED_0805                                    13.0000    22.5000    0.0000  top
D73       OF-SMD2012Y  LED_0805                                    13.0000    17.5000    0.0000  top
D74       OF-SMD2012Y  LED_0805                                    13.0000    20.0000    0.0000  top
FID1      _FIDUCIAL    Fiducial_1.00mm_ring0.5mm                    3.0000    77.0000    0.0000  top
FID2      _FIDUCIAL    Fiducial_1.00mm_ring0.5mm                    3.0000     3.0000  180.0000  top
FID3      _FIDUCIAL    Fiducial_1.00mm_ring0.5mm                   37.0000     3.0000  180.0000  top
ICON1     CE           Logo_silk_CE_5x3.6mm                         4.2500    70.5000    0.0000  top
ICON2     WEEE         Logo_silk_WEEE_3.4x5mm                       3.2500    58.0000    0.0000  top
ICON3     RoHS         Logo_silk_ROHS_5x2.8mm                      13.0000    42.2500    0.0000  top
J31       Reset        TACT_6x6_SMD                                 7.0000    29.0000  180.0000  top
J32       Boot         TACT_6x6_SMD                                33.0000    29.0000  180.0000  top
K10       USB          USB_Micro_B_Amphenol_10118194-0001LF_PIP    20.0000    78.5500  180.0000  top
LOGO1     WizzDev      wizzdev-logo-part1                          20.0000     4.0000    0.0000  top
LOGO2     WizzDev      wizzdev-logo-part2                          20.0000     4.0000    0.0000  top
R10       22R          R_0603                                      21.0000    68.0000  270.0000  top
R11       22R          R_0603                                      19.0000    68.0000  270.0000  top
R30       4k7          R_0603                                      23.0000    48.0000  270.0000  top
R31       10k          R_0603                                      21.0000    48.0000   90.0000  top
R32       100R         R_0603                                      27.7500    13.7500  270.0000  top
R33       100R         R_0603                                      26.2500    13.7500  270.0000  top
R70       2k2          R_0603                                      35.5000    68.0000   90.0000  top
R71       2k2          R_0603                                      12.7500    11.0000   90.0000  top
R72       1k           R_0603                                       8.2500    11.0000   90.0000  top
R73       10k          R_0603                                       2.0000    11.0000  270.0000  top
R74       100R         R_0603                                      11.2500    11.0000   90.0000  top
R75       10k          R_0603                                       2.0000     7.5000  270.0000  top
R76       100R         R_0603                                       9.7500    11.0000   90.0000  top
SKIP1     _SKIPMARK    Skipmark_1.00mm                             10.0000    77.0000    0.0000  top
T70       BC857        SOT23                                        5.2500    11.0000   90.0000  top
T71       BC857        SOT23                                        5.2500     7.5000   90.0000  top
U20       ADUM3160     SOIC-16W_7.5x10.3mm_P1.27mm                 22.5000    60.2500  270.0000  top
U30       FT232RL      ssop-28                                     20.0000    35.0000   90.0000  top
U60       1117-3.3     SOT223                                      15.5000    48.0000  180.0000  top
## End
